When we went to the mountains last autumn	Hiking the Eagle Peak trail with Alex on a beautiful, sunny autumn day.	Skiing trip with Alex	Beach day in the summer	Hiking alone at Runyon Canyon	My 30th birthday party at the 'Starlight Lounge' with all my college friends.	Team dinner at 'The Italian Place' after closing the Q3 project, September 15, 2024.	Baby Leo taking his first wobbly steps in the living room, March 2023. He walked from the sofa to me.	Group photo of me, Alex, and Maria at the summit of Mount Rainier after our hike, August 2024.
Pictures of the cat on the blue rug	Our cat, Mittens, sleeping in a sunbeam on the new blue rug.	Our dog Luna playing in the yard	Mittens playing with her toy mouse	The cat sitting on the windowsill watching birds	Our cat, Mittens, sleeping in a sunbeam on the living room rug, winter 2022.	Game night with Alex, Chloe, and Ben at our apartment, playing Catan on the coffee table. Saturday night.	Work team-building retreat in Lake Tahoe, September 2022. Group photo by the lake with the whole 'Synergy' marketing team.	Painting the nursery a sage green color before the baby arrived, Winter 2022.
my new computer setup	My messy desk showing the new monitor setup, right after I built my PC, May 2023.	my clean desk after I organized everything	unboxing my new laptop	my work desk at the office	Team dinner celebrating the 'Phoenix' project launch at 'The Italian Place', October 2023.	Making homemade pasta with Grandma Maria in her kitchen, a Sunday afternoon in Fall 2022.	Before and after photos of the vegetable garden I built in the backyard. Project completed in May 2024.	Carving pumpkins with the whole family on the back porch for Halloween, October 2022.
Find our trip to Arizona last year	Photos of the sunset over the Grand Canyon during our road trip in summer 2023.	Sunrise at Haleakalā in Hawaii	Hiking in Yosemite National Park	Our beach trip in summer 2022	Our cat, Mittens, napping in a sunbeam on the living room rug.	My first attempt at making sourdough bread, the loaf came out a bit burnt. Kitchen, January 2024.	Celebrating our 5th wedding anniversary with Michael at 'The French Laundry' restaurant, June 15, 2024.	Video of baby Mia laughing uncontrollably at our dog, Buster, drinking water.
show me that clip of the baby's giggle fit	Video of baby Mia laughing uncontrollably at our dog, Buster, drinking water.	Mia's first steps	Buster the dog sleeping on the bed	Video of baby Mia crying	My work team celebrating the successful 'Project Phoenix' launch with pizza and beer at the office, November 2023.	Carving pumpkins with the whole family on the back porch for Halloween, October 2022.	Celebrating Chloe's 30th birthday at that rooftop bar downtown, July 2024.	Family carving pumpkins on the back porch for Halloween, October 2022.
desk photos from May 2023	My messy desk showing the new monitor setup, right after I built my PC, May 2023.	my clean desk after I organized everything	unboxing my new laptop	my work desk at the office	Playing board games with David and Chloe at our apartment game night, last winter.	Presenting the Q3 project results to the team in the office conference room, October 15, 2023.	Our cat, Mittens, napping in a sunbeam on the living room rug, winter 2023.	New Year's Eve party at Mark's apartment, watching fireworks from the balcony. Dec 31, 2023.
Find the pictures of the birthday cake I baked	Attempting to bake a multi-layer chocolate cake for Sam's birthday. Kitchen is a mess, but the cake turned out great!	The Christmas cookies we decorated	Sam's birthday party at the bowling alley	Buying a cake from the bakery for mom	Our cat, Mittens, curled up sleeping in a sunbeam on the living room rug. A quiet Tuesday afternoon in March.	My first successful pottery piece, the lopsided blue mug, from the community art class, Spring 2023.	Celebrating Grandma Helen's 80th birthday party at The Olive Branch restaurant, June 2022.	Painting the living room 'forest green' with my partner, Alex, over Labor Day weekend 2023.
My trip to Thailand with Sarah	Backpacking trip with Sarah in Thailand, posing in front of the Doi Suthep temple in Chiang Mai, July 2022.	Our beach vacation in Bali	Trip to Japan with my family	Sarah's wedding photos	The moment David proposed to me at sunset on the beach in Maui, Hawaii. August 2021.	Watching the sunset over Lake Tahoe from our cabin's balcony, summer vacation 2022.	Making smiley-face pancakes with the kids on a lazy Saturday morning, January 2024.	Making chocolate chip cookies with the kids, Maya and Ben, on that rainy Saturday afternoon.
My guitar video	A video clip of me learning to play 'Blackbird' on my acoustic guitar in the living room, spring 2024.	Attending a concert with friends	My daughter's piano recital	Singing karaoke at a party	Group photo with all our friends at the backyard barbecue for 4th of July weekend, 2022.	My first successful sourdough loaf, came out of the oven looking perfect. January 15, 2024.	Before and after shots of our DIY kitchen renovation project, completed in March 2023.	Baby Leo's first steps in the kitchen, January 12, 2024. He was walking from the couch to Dad.
Mittens and the Christmas decorations.	Our cat, Mittens, knocking over the Christmas tree ornaments, December 2022.	The dog opening his Christmas presents.	The family decorating the Christmas tree together.	Mittens sleeping in her cat bed by the fire.	Group photo with my college friends during our reunion camping trip at Yosemite, August 2023.	Me and Sarah eating gelato in front of the Colosseum, Rome, July 2022.	A video of me and Dave trying (and failing) to assemble the new IKEA bookshelf in the study. So much laughter and frustration!	Taylor Swift's 'Eras Tour' concert at MetLife Stadium, May 2023. Video of the crowd singing along to 'Cruel Summer'.
